Time,Driver,Position,GapToLeader,IntervalToPositionAhead
0 days 01:56:51.986000,44,2.0,+1.687,+1.687
0 days 01:56:57.567000,44,2.0,+1.633,+1.633
0 days 01:57:01.465000,44,2.0,+1.563,+1.563
0 days 01:57:05.345000,44,2.0,+1.593,+1.593
0 days 01:57:07.808000,44,2.0,+1.561,+1.561
0 days 01:57:10.207000,44,2.0,+1.531,+1.531
0 days 01:57:13.745000,44,2.0,+1.653,+1.653
0 days 01:57:18.318000,44,2.0,+1.645,+1.645
0 days 01:57:20.749000,44,2.0,+1.603,+1.603
0 days 01:57:23.143000,44,2.0,+1.529,+1.529
0 days 01:57:25.178000,44,2.0,+1.471,+1.471
0 days 01:57:33.059000,44,2.0,+1.529,+1.529
0 days 01:57:34.241000,44,2.0,+1.540,+1.540
0 days 01:57:41.277000,44,2.0,+1.577,+1.577
0 days 01:57:44.195000,44,2.0,+1.583,+1.583
0 days 01:57:49.064000,44,2.0,+1.507,+1.507
0 days 01:57:52.456000,44,2.0,+1.702,+1.702
0 days 01:57:55.687000,44,2.0,+1.816,+1.816
0 days 01:57:59.668000,44,2.0,+2.025,+2.025
0 days 01:58:05.355000,44,2.0,+1.819,+1.819
0 days 01:58:09.272000,44,2.0,+1.751,+1.751
0 days 01:58:13.616000,44,2.0,+1.654,+1.654
0 days 01:58:14.896000,44,2.0,+1.658,+1.658
0 days 01:58:19.812000,44,2.0,+1.825,+1.825
0 days 01:58:25.042000,44,2.0,+1.823,+1.823
0 days 01:58:30.624000,44,2.0,+1.755,+1.755
0 days 01:58:34.437000,44,2.0,+1.664,+1.664
0 days 01:58:38.368000,44,2.0,+1.640,+1.640
0 days 01:58:40.837000,44,2.0,+1.602,+1.602
0 days 01:58:43.222000,44,2.0,+1.601,+1.601
0 days 01:58:46.795000,44,2.0,+1.755,+1.755
0 days 01:58:51.409000,44,2.0,+1.762,+1.762
0 days 01:58:53.844000,44,2.0,+1.709,+1.709
0 days 01:58:56.276000,44,2.0,+1.635,+1.635
0 days 01:58:58.303000,44,2.0,+1.593,+1.593
0 days 01:59:01.346000,44,2.0,+1.594,+1.594
0 days 01:59:06.142000,44,2.0,+1.597,+1.597
0 days 01:59:07.336000,44,2.0,+1.615,+1.615
0 days 01:59:14.235000,44,2.0,+1.612,+1.612
0 days 01:59:17.210000,44,2.0,+1.587,+1.587
0 days 01:59:22.084000,44,2.0,+1.478,+1.478
0 days 01:59:25.302000,44,2.0,+1.643,+1.643
0 days 01:59:28.490000,44,2.0,+1.665,+1.665
0 days 01:59:32.394000,44,2.0,+1.855,+1.855
0 days 01:59:38.281000,44,2.0,+1.763,+1.763
0 days 01:59:42.158000,44,2.0,+1.714,+1.714
0 days 01:59:46.506000,44,2.0,+1.627,+1.627
0 days 01:59:47.841000,44,2.0,+1.642,+1.642
0 days 01:59:52.773000,44,2.0,+1.860,+1.860
0 days 01:59:57.980000,44,2.0,+1.786,+1.786
0 days 02:00:03.475000,44,2.0,+1.709,+1.709
0 days 02:00:07.322000,44,2.0,+1.611,+1.611
0 days 02:00:11.316000,44,2.0,+1.630,+1.630
0 days 02:00:13.735000,44,2.0,+1.598,+1.598
0 days 02:00:16.144000,44,2.0,+1.601,+1.601
0 days 02:00:19.759000,44,2.0,+1.747,+1.747
0 days 02:00:24.314000,44,2.0,+1.787,+1.787
0 days 02:00:26.725000,44,2.0,+1.753,+1.753
0 days 02:00:29.173000,44,2.0,+1.704,+1.704
0 days 02:00:31.243000,44,2.0,+1.692,+1.692
0 days 02:00:34.287000,44,2.0,+1.726,+1.726
0 days 02:00:39.152000,44,2.0,+1.819,+1.819
0 days 02:00:40.363000,44,2.0,+1.845,+1.845
0 days 02:00:47.324000,44,2.0,+1.790,+1.790
0 days 02:00:50.309000,44,2.0,+1.776,+1.776
0 days 02:00:55.090000,44,2.0,+1.669,+1.669
0 days 02:00:58.426000,44,2.0,+1.712,+1.712
0 days 02:01:01.606000,44,2.0,+1.720,+1.720
0 days 02:01:05.501000,44,2.0,+1.882,+1.882
0 days 02:01:11.219000,44,2.0,+1.753,+1.753
0 days 02:01:15.175000,44,2.0,+1.693,+1.693
0 days 02:01:19.545000,44,2.0,+1.609,+1.609
0 days 02:01:20.774000,44,2.0,+1.615,+1.615
0 days 02:01:25.723000,44,2.0,+1.781,+1.781
0 days 02:01:30.974000,44,2.0,+1.820,+1.820
0 days 02:01:36.501000,44,2.0,+1.725,+1.725
0 days 02:01:40.348000,44,2.0,+1.608,+1.608
0 days 02:01:44.189000,44,2.0,+1.621,+1.621
0 days 02:01:46.653000,44,2.0,+1.586,+1.586
0 days 02:01:49.027000,44,2.0,+1.564,+1.564
0 days 02:01:52.616000,44,2.0,+1.680,+1.680
0 days 02:01:57.178000,44,2.0,+1.694,+1.694
0 days 02:01:59.682000,44,2.0,+1.658,+1.658
0 days 02:02:02.064000,44,2.0,+1.605,+1.605
0 days 02:02:04.096000,44,2.0,+1.575,+1.575
0 days 02:02:07.157000,44,2.0,+1.576,+1.576
0 days 02:02:11.958000,44,2.0,+1.634,+1.634
0 days 02:02:13.176000,44,2.0,+1.654,+1.654
0 days 02:02:20.107000,44,2.0,+1.756,+1.756
0 days 02:02:23.074000,44,2.0,+1.781,+1.781
0 days 02:02:27.862000,44,2.0,+1.693,+1.693
0 days 02:02:31.147000,44,2.0,+1.787,+1.787
0 days 02:02:34.344000,44,2.0,+1.797,+1.797
0 days 02:02:38.247000,44,2.0,+1.920,+1.920
0 days 02:02:44.026000,44,2.0,+1.812,+1.812
0 days 02:02:47.912000,44,2.0,+1.757,+1.757
0 days 02:02:52.258000,44,2.0,+1.662,+1.662
0 days 02:02:53.568000,44,2.0,+1.665,+1.665
0 days 02:02:58.460000,44,2.0,+1.284,+1.284
0 days 02:03:03.697000,44,2.0,+1.383,+1.383
0 days 02:03:09.195000,44,2.0,+1.255,+1.255
0 days 02:03:13.082000,44,2.0,+1.104,+1.104
0 days 02:03:16.940000,44,2.0,+1.177,+1.177
0 days 02:03:19.387000,44,2.0,+1.140,+1.140
0 days 02:03:21.786000,44,2.0,+1.118,+1.118
0 days 02:03:25.417000,44,2.0,+1.184,+1.184
0 days 02:03:29.933000,44,2.0,+1.212,+1.212
0 days 02:03:32.359000,44,2.0,+1.159,+1.159
0 days 02:03:34.776000,44,2.0,+1.091,+1.091
0 days 02:03:36.787000,44,2.0,+1.049,+1.049
0 days 02:03:39.797000,44,2.0,+1.073,+1.073
0 days 02:03:44.702000,44,2.0,+1.170,+1.170
0 days 02:03:45.826000,44,2.0,+1.199,+1.199
0 days 02:03:52.847000,44,2.0,+1.220,+1.220
0 days 02:03:55.759000,44,2.0,+1.212,+1.212
0 days 02:04:00.544000,44,2.0,+1.086,+1.086
0 days 02:04:03.803000,44,2.0,+1.115,+1.115
0 days 02:04:06.935000,44,2.0,+1.109,+1.109
0 days 02:04:10.797000,44,2.0,+1.280,+1.280
0 days 02:04:16.677000,44,2.0,+1.316,+1.316
0 days 02:04:20.611000,44,2.0,+1.309,+1.309
0 days 02:04:24.939000,44,2.0,+1.199,+1.199
0 days 02:04:26.190000,44,2.0,+1.205,+1.205
0 days 02:04:31.127000,44,2.0,+1.451,+1.451
0 days 02:04:36.352000,44,2.0,+1.433,+1.433
0 days 02:04:41.862000,44,2.0,+1.355,+1.355
0 days 02:04:45.678000,44,2.0,+1.120,+1.120
