LapNumber,Driver,LapTime,Stint,TotalLaps,Compound,New,TyresNotChanged,Time,LapFlags,LapCountTime,StartLaps,Outlap
5.0,31,0 days 00:01:35.130000,1,,,False,False,0 days 01:48:34.352000,,,,
5.0,7,0 days 00:01:36.398000,1,,,False,False,0 days 01:48:35.233000,,,,
5.0,99,0 days 00:01:36.308000,1,,,False,False,0 days 01:48:35.864000,,,,
5.0,10,0 days 00:01:36.555000,1,,,False,False,0 days 01:48:36.470000,,,,
5.0,63,0 days 00:01:36.865000,1,,,False,False,0 days 01:48:37.423000,,,,
5.0,11,0 days 00:01:35.983000,1,,,False,False,0 days 01:48:38.300000,,,,
,7,,1,3.0,,False,False,0 days 01:48:38.518000,,,,
,10,,1,5.0,,False,False,0 days 01:48:38.518000,,,,
,11,,1,5.0,,False,False,0 days 01:48:38.518000,,,,
,31,,1,3.0,,False,False,0 days 01:48:38.518000,,,,
,63,,1,3.0,,False,False,0 days 01:48:38.518000,,,,
,99,,1,3.0,,False,False,0 days 01:48:38.518000,,,,
5.0,22,0 days 00:01:37.689000,1,,,False,False,0 days 01:48:38.685000,,,,
5.0,6,0 days 00:01:37.107000,1,,,False,False,0 days 01:48:39.859000,,,,
5.0,47,0 days 00:01:39.029000,1,,,False,False,0 days 01:48:41.070000,,,,
5.0,9,0 days 00:01:38.789000,1,,,False,False,0 days 01:48:42.165000,,,,
,6,,1,3.0,,False,False,0 days 01:48:43.520000,,,,
,9,,1,6.0,,False,False,0 days 01:48:43.520000,,,,
,22,,1,5.0,,False,False,0 days 01:48:43.520000,,,,
,47,,1,4.0,,False,False,0 days 01:48:43.520000,,,,
5.0,5,0 days 00:01:35.272000,1,,,False,False,0 days 01:48:45.773000,,,,
,5,,1,8.0,,False,False,0 days 01:48:48.511000,,,,
6.0,16,,1,,,False,False,0 days 01:49:57.621000,,,,
,16,,1,4.0,,False,False,0 days 01:49:58.511000,,,,
6.0,44,,1,,,False,False,0 days 01:49:59.250000,,,,
6.0,77,0 days 00:01:33.577000,1,,,False,False,0 days 01:50:02.248000,,,,
,4,,1,6.0,,False,False,0 days 01:50:03.537000,,,,
,44,,1,4.0,,False,False,0 days 01:50:03.537000,,,,
,77,,1,4.0,,False,False,0 days 01:50:03.537000,,,,
6.0,3,0 days 00:01:34.023000,1,,,False,False,0 days 01:50:04.148000,,,,
6.0,55,,1,,,False,False,0 days 01:50:05.153000,,,,
6.0,14,0 days 00:01:34.496000,1,,,False,False,0 days 01:50:06.947000,,,,
6.0,18,0 days 00:01:34.664000,1,,,False,False,0 days 01:50:07.919000,,,,
,3,,1,6.0,,False,False,0 days 01:50:08.508000,,,,
,14,,1,5.0,,False,False,0 days 01:50:08.508000,,,,
,18,,1,6.0,,False,False,0 days 01:50:08.508000,,,,
,55,,1,4.0,,False,False,0 days 01:50:08.508000,,,,
6.0,31,0 days 00:01:34.832000,1,,,False,False,0 days 01:50:09.164000,,,,
6.0,7,0 days 00:01:34.929000,1,,,False,False,0 days 01:50:10.207000,,,,
6.0,10,0 days 00:01:34.385000,1,,,False,False,0 days 01:50:10.858000,,,,
6.0,99,0 days 00:01:35.876000,1,,,False,False,0 days 01:50:11.769000,,,,
6.0,63,0 days 00:01:35.260000,1,,,False,False,0 days 01:50:12.722000,,,,
,7,,1,4.0,,False,False,0 days 01:50:13.514000,,,,
,10,,1,6.0,,False,False,0 days 01:50:13.514000,,,,
,31,,1,4.0,,False,False,0 days 01:50:13.514000,,,,
,63,,1,4.0,,False,False,0 days 01:50:13.514000,,,,
,99,,1,4.0,,False,False,0 days 01:50:13.514000,,,,
6.0,11,0 days 00:01:35.256000,1,,,False,False,0 days 01:50:13.528000,,,,
6.0,22,0 days 00:01:35.655000,1,,,False,False,0 days 01:50:14.306000,,,,
6.0,6,0 days 00:01:35.620000,1,,,False,False,0 days 01:50:15.496000,,,,
6.0,47,0 days 00:01:37.141000,1,,,False,False,0 days 01:50:18.229000,,,,
,6,,1,4.0,,False,False,0 days 01:50:18.517000,,,,
,11,,1,6.0,,False,False,0 days 01:50:18.517000,,,,
,22,,1,6.0,,False,False,0 days 01:50:18.517000,,,,
,47,,1,5.0,,False,False,0 days 01:50:18.517000,,,,
6.0,9,0 days 00:01:37.188000,1,,,False,False,0 days 01:50:19.352000,,,,
6.0,5,0 days 00:01:34.602000,1,,,False,False,0 days 01:50:20.361000,,,,
,5,,1,9.0,,False,False,0 days 01:50:23.523000,,,,
,9,,1,7.0,,False,False,0 days 01:50:23.523000,,,,
,16,,1,,,False,False,0 days 01:51:31.967000,1.0,,,
7.0,44,0 days 00:01:32.738000,1,,,False,False,0 days 01:51:31.967000,3.0,,,
,16,,1,5.0,,False,False,0 days 01:51:33.510000,,,,
,44,,1,5.0,,False,False,0 days 01:51:33.510000,,,,
7.0,77,0 days 00:01:33.543000,1,,,False,False,0 days 01:51:35.742000,,,,
7.0,3,0 days 00:01:33.820000,1,,,False,False,0 days 01:51:37.956000,,,,
,3,,1,7.0,,False,False,0 days 01:51:38.518000,,,,
,4,,1,7.0,,False,False,0 days 01:51:38.518000,,,,
,77,,1,5.0,,False,False,0 days 01:51:38.518000,,,,
7.0,14,,1,,,False,False,0 days 01:51:41.947000,,,,
7.0,18,,1,,,False,False,0 days 01:51:42.910000,,,,
,14,,1,6.0,,False,False,0 days 01:51:43.524000,,,,
,18,,1,7.0,,False,False,0 days 01:51:43.524000,,,,
,55,,1,5.0,,False,False,0 days 01:51:43.524000,,,,
7.0,31,,1,,,False,False,0 days 01:51:44.148000,,,,
7.0,7,,1,,,False,False,0 days 01:51:45.422000,,,,
7.0,10,,1,,,False,False,0 days 01:51:46.050000,,,,
7.0,99,0 days 00:01:35.379000,1,,,False,False,0 days 01:51:47.123000,,,,
7.0,11,0 days 00:01:34.763000,1,,,False,False,0 days 01:51:48.270000,,,,
,7,,1,5.0,,False,False,0 days 01:51:48.546000,,,,
,10,,1,7.0,,False,False,0 days 01:51:48.546000,,,,
,11,,1,7.0,,False,False,0 days 01:51:48.546000,,,,
,31,,1,5.0,,False,False,0 days 01:51:48.546000,,,,
,99,,1,5.0,,False,False,0 days 01:51:48.546000,,,,
7.0,63,,1,,,False,False,0 days 01:51:49.176000,,,,
7.0,22,0 days 00:01:35.510000,1,,,False,False,0 days 01:51:49.829000,,,,
7.0,6,,1,,,False,False,0 days 01:51:51.235000,,,,
,6,,1,5.0,,False,False,0 days 01:51:53.530000,,,,
,22,,1,7.0,,False,False,0 days 01:51:53.530000,,,,
,63,,1,5.0,,False,False,0 days 01:51:53.530000,,,,
7.0,47,0 days 00:01:36.993000,1,,,False,False,0 days 01:51:55.178000,,,,
7.0,9,,1,,,False,False,0 days 01:51:57.312000,,,,
,5,,1,10.0,,False,False,0 days 01:51:58.516000,,,,
,9,,1,8.0,,False,False,0 days 01:51:58.516000,,,,
,47,,1,6.0,,False,False,0 days 01:51:58.516000,,,,
8.0,44,,1,,,False,False,0 days 01:53:04.912000,,,,
,4,,1,8.0,,False,False,0 days 01:53:08.517000,,,,
,16,,1,6.0,,False,False,0 days 01:53:08.517000,,,,
,44,,1,6.0,,False,False,0 days 01:53:08.517000,,,,
8.0,77,,1,,,False,False,0 days 01:53:09.338000,,,,
8.0,3,,1,,,False,False,0 days 01:53:11.865000,,,,
,3,,1,8.0,,False,False,0 days 01:53:13.516000,,,,
,55,,1,6.0,,False,False,0 days 01:53:13.516000,,,,
,77,,1,6.0,,False,False,0 days 01:53:13.516000,,,,
,14,,1,7.0,,False,False,0 days 01:53:18.529000,,,,
,18,,1,8.0,,False,False,0 days 01:53:18.529000,,,,
8.0,99,0 days 00:01:35.295000,1,,,False,False,0 days 01:53:22.424000,,,,
8.0,11,,1,,,False,False,0 days 01:53:23.152000,,,,
,7,,1,6.0,,False,False,0 days 01:53:23.520000,,,,
,10,,1,8.0,,False,False,0 days 01:53:23.520000,,,,
,11,,1,8.0,,False,False,0 days 01:53:23.520000,,,,
,31,,1,6.0,,False,False,0 days 01:53:23.520000,,,,
,99,,1,6.0,,False,False,0 days 01:53:23.520000,,,,
8.0,22,,1,,,False,False,0 days 01:53:25.441000,,,,
8.0,6,0 days 00:01:35.548000,1,,,False,False,0 days 01:53:26.766000,,,,
,6,,1,6.0,,False,False,0 days 01:53:28.523000,,,,
